B 4 7 1 6 2 9 3 C G A D 8 5 E F
9 3 F 5 8 G C A 4 6 7 E B D 2 1
2 D 8 A B 4 E 1 3 5 F 9 6 7 G C
6 C E G D 7 5 F 1 8 2 B 4 A 9 3
8 5 A 3 4 C F 2 D 1 G 6 9 E 7 B
4 6 2 D 1 E 8 7 B A 9 C G 3 F 5
C 9 G F A 3 6 B 7 2 E 5 1 4 8 D
7 E 1 B 9 5 G D 8 F 3 4 A C 6 2
1 7 D E F B A C 9 3 4 G 2 6 5 8
G A 3 2 7 6 1 8 E D 5 F C B 4 9
F 8 C 9 E D 4 5 2 B 6 1 7 G 3 A
5 B 6 4 3 9 2 G A C 8 7 D F 1 E
A 1 B 8 2 F 7 6 G E D 3 5 9 C 4
D 2 9 6 5 8 3 4 F 7 C A E 1 B G
E F 5 C G A B 9 6 4 1 8 3 2 D 7
3 G 4 7 C 1 D E 5 9 B 2 F 8 A 6
